Fold,Case ID,Sentence,Attention Weight,Prediction,Label
fold_3,85,Sentence 0,1.0,0.1260702759027481,0
fold_3,543,Sentence 0,1.0,0.517101526260376,0
fold_3,544,Sentence 0,1.0,0.4052712023258209,0
fold_3,545,Sentence 0,1.0,0.5406287312507629,0
fold_3,580,Sentence 0,1.0,0.03541569039225578,0
fold_3,581,Sentence 0,1.0,0.14001673460006714,0
fold_3,582,Sentence 0,1.0,0.12155398726463318,0
fold_3,583,Sentence 0,1.0,0.024790937080979347,0
fold_3,1110,Sentence 0,1.0,0.8426986932754517,0
fold_3,1393,Sentence 0,1.0,0.4763861894607544,0
fold_3,1421,Sentence 0,1.0,0.2344438135623932,1
fold_3,1422,Sentence 0,1.0,0.1235886737704277,1
fold_3,1432,Sentence 0,1.0,0.7935227155685425,1
fold_3,1433,Sentence 0,1.0,0.7928310036659241,1
fold_3,1716,Sentence 0,1.0,0.21382084488868713,0
fold_3,1718,Sentence 0,1.0,0.1359660029411316,0
fold_3,1719,Sentence 0,1.0,0.4162220060825348,0
fold_3,1720,Sentence 0,1.0,0.14473548531532288,0
fold_3,1728,Sentence 0,1.0,0.5669593214988708,0
fold_3,1729,Sentence 0,1.0,0.40193459391593933,0
fold_3,1920,Sentence 0,1.0,0.16789694130420685,0
fold_3,1921,Sentence 0,1.0,0.6508212089538574,0
fold_3,1922,Sentence 0,1.0,0.7577694058418274,0
fold_3,1929,Sentence 0,1.0,0.9401676058769226,1
fold_3,1945,Sentence 0,1.0,0.19265645742416382,0
fold_3,1957,Sentence 0,1.0,0.23155678808689117,0
fold_3,1973,Sentence 0,1.0,0.3156554102897644,0
fold_3,2226,Sentence 0,1.0,0.27486729621887207,0
fold_3,2227,Sentence 0,1.0,0.15503926575183868,0
fold_3,2399,Sentence 0,1.0,0.7648698091506958,0
fold_3,2418,Sentence 0,1.0,0.12456559389829636,0
fold_3,2419,Sentence 0,1.0,0.47226962447166443,0
fold_3,2420,Sentence 0,1.0,0.2876482903957367,0
fold_3,2421,Sentence 0,1.0,0.04369969666004181,0
fold_3,2708,Sentence 0,1.0,0.8806174993515015,1
fold_3,2807,Sentence 0,1.0,0.5979141592979431,0
fold_3,2808,Sentence 0,1.0,0.6409589648246765,0
fold_3,2809,Sentence 0,1.0,0.09803847223520279,0
fold_3,3407,Sentence 0,1.0,0.6556302309036255,1
fold_3,3451,Sentence 0,1.0,0.716228723526001,1
fold_3,3452,Sentence 0,1.0,0.4383421838283539,1
fold_3,3453,Sentence 0,1.0,0.7559590339660645,1
fold_3,3659,Sentence 0,1.0,0.6773022413253784,0
fold_3,3660,Sentence 0,1.0,0.397452175617218,0
fold_3,3665,Sentence 0,1.0,0.8831610679626465,1
fold_3,3666,Sentence 0,1.0,0.9648302793502808,1
fold_3,3667,Sentence 0,1.0,0.9510279893875122,1
fold_3,3668,Sentence 0,1.0,0.8760807514190674,1
fold_3,3669,Sentence 0,1.0,0.8626388311386108,1
fold_3,3670,Sentence 0,1.0,0.6910959482192993,1
fold_3,3880,Sentence 0,1.0,0.4034598469734192,0
fold_3,3909,Sentence 0,1.0,0.2302713394165039,0
fold_3,3926,Sentence 0,1.0,0.23281894624233246,0
fold_3,3927,Sentence 0,1.0,0.1365928202867508,0
fold_3,3928,Sentence 0,1.0,0.6815382242202759,0
fold_3,3929,Sentence 0,1.0,0.27314579486846924,0
fold_3,3934,Sentence 0,1.0,0.28410428762435913,0
fold_3,4604,Sentence 0,1.0,0.7367950677871704,0
fold_3,4605,Sentence 0,1.0,0.07838097959756851,0
fold_3,4944,Sentence 0,1.0,0.2690456211566925,0
fold_3,5300,Sentence 0,1.0,0.17297104001045227,0
fold_3,5731,Sentence 0,1.0,0.8685680627822876,1
fold_3,5732,Sentence 0,1.0,0.8183960914611816,1
fold_3,5899,Sentence 0,1.0,0.8293144702911377,0
fold_3,5900,Sentence 0,1.0,0.4374524652957916,0
fold_3,5903,Sentence 0,1.0,0.1251792162656784,1
fold_3,5904,Sentence 0,1.0,0.1211906298995018,1
fold_3,5906,Sentence 0,1.0,0.4478646218776703,1
fold_3,6244,Sentence 0,1.0,0.2597402036190033,0
fold_3,6270,Sentence 0,1.0,0.25800055265426636,0
fold_3,6271,Sentence 0,1.0,0.5443708896636963,0
fold_3,6272,Sentence 0,1.0,0.47209474444389343,0
fold_3,7156,Sentence 0,1.0,0.08787999302148819,0
fold_3,7157,Sentence 0,1.0,0.18899661302566528,0
fold_3,7158,Sentence 0,1.0,0.1206023171544075,0
fold_3,7830,Sentence 0,1.0,0.17009514570236206,0
fold_3,7831,Sentence 0,1.0,0.02250988967716694,0
fold_3,8436,Sentence 0,1.0,0.6839077472686768,0
fold_3,9046,Sentence 0,1.0,0.13352744281291962,0
fold_3,9535,Sentence 0,1.0,0.9798671007156372,1
fold_3,9536,Sentence 0,1.0,0.984415590763092,1
fold_3,9537,Sentence 0,1.0,0.9866971373558044,1
fold_3,9538,Sentence 0,1.0,0.9808269739151001,1
fold_3,9539,Sentence 0,1.0,0.9598163962364197,1
fold_3,9540,Sentence 0,1.0,0.9857389330863953,1
fold_3,11795,Sentence 0,1.0,0.5786251425743103,1
fold_3,11796,Sentence 0,1.0,0.4492779076099396,1
