Fold,Case ID,Sentence,Sentence Attention Weight,Prediction,Label
fold_5,100," This case study describes the pioneering work undertaken with the Sultanate of Oman government to develop appropriate approaches towards sustainable documentation, management and renewal of 86 priority heritage sites of its 1000-plus vernacular settlements.",0.1582595407962799,0.12040015310049057,0
fold_5,100,Approaches established through a pilot project - now extended to 9 settlements (5 completed) including 3 World-Heritage- Sites - are helping Oman achieve a cohesive strategy and have instigated a thorough revision of the priority list.,0.01700827293097973,0.12040015310049057,0
fold_5,100,"Wide-ranging stakeholder engagement was achieved through exhibitions, public lectures, workshops, press interviews (Arabic/English) and heritage-related film-production.",0.01263344381004572,0.12040015310049057,0
fold_5,100,"The continued `capacity building' and employment of young graduates through skills development training has provided the social enterprise dimension. 
 ",0.01260057371109724,0.12040015310049057,0
fold_5,100,The underpinning research undertaken at this HEI since 1998 originally consisted of three key strands.,0.0014766977401450276,0.12040015310049057,0
fold_5,100,Shackley's internationally recognised work (1998: reference-1; also 2001 & 2002) on the complex cultural and political nature of World-Heritage-Sites (WHS) as places of tourism and the validity of applying contemporary theoretical frameworks to analysing historical issues had provided important insights into their management and consumption.,0.03427082672715187,0.12040015310049057,0
fold_5,100,"Paralleling this, Mansfield's work in heritage focused on conservation and protection policies, their remit within the UK and the legal and ethical challenges.",0.003699390683323145,0.12040015310049057,0
fold_5,100,His publication in Structural Survey (2001) addressed a key issue in heritage conservation: refurbishment.,0.0027309702709317207,0.12040015310049057,0
fold_5,100,"Exploring the perception of `risk' in refurbishment amongst conservation consultants, Mansfield highlighted the importance of the clients' awareness of cultural issues.",0.013490810990333557,0.12040015310049057,0
fold_5,100,In recognising the importance of the design quality Mansfield subsequently argued the role of government initiatives (CABE) in enshrining good design within conservation policy (2004: reference-3).,0.0017316138837486506,0.12040015310049057,0
fold_5,100,The ethical challenges associated with design interventions within an increasingly complex conservation practice is discussed in Mansfield's 2008 paper.,0.007892663590610027,0.12040015310049057,0
fold_5,100,Black's work (2002: reference-2) on the conservation of built heritage in the UK was underpinned by wider multi- disciplinary research interest within the institution on the need to address the significant built heritage in Nottingham - a legacy of the city's lace manufacturing industry.,0.04316321015357971,0.12040015310049057,0
fold_5,100,"The work provided important theoretical and practice-related insights into the appreciation, interpretation and appropriation of built heritage in the UK.",0.04399510473012924,0.12040015310049057,0
fold_5,100,"A social enterprise based approach to heritage management emerged in the work of Alina and Tom Hughes, whose concerns centred on identity and social justice.",0.02477424219250679,0.12040015310049057,0
fold_5,100,"In 2003, under the Prince of Wales' INTBAU (International Network for Traditional Building, Architecture and Urbanism) initiative, the team was involved in the production of a master plan for the medieval Saxon village of Laslea in Transylvania, Romania through an international development and design workshop (www.intbau.org/archive/Transylvania.htm).",0.02535422332584858,0.12040015310049057,0
fold_5,100,The study of vernacular environments and heritage management were given further impetus with the arrival of Bandyopadhyay in 2008 through work on oasis settlements of Oman.,0.03847295790910721,0.12040015310049057,0
fold_5,100,"Although Bandyopadhyay's early work and some impact activities took place at Liverpool University, funding bids secured at Liverpool and later at NTU (AHRC, US Ambassador's Fund for Cultural Preservation, Historical Association of Oman; grant references a-e) resulted in important publications at NTU.",0.012989182956516743,0.12040015310049057,0
fold_5,100,"His research on the politico-historical background of prayer niches (mihrab) and their underlying cultural concepts in central Omani mosques (2008) was followed by an exhibition on the architecture and settlement organisation of Harat al-Bilad, the main settlement in the oasis of Manah (2009: reference-4).",0.010422872379422188,0.12040015310049057,0
fold_5,100,The exhibition highlighted key methodological problems of settlement documentation and analysis and emphasised the need to understand heritage settlements in terms of social and deeper cultural practices and ideals.,0.033195849508047104,0.12040015310049057,0
fold_5,100,The publication on tribal dynamics (2011: reference-5) emphasised the importance of considering the complex tribal and social history in understanding settlement organisation and evolution in central Oman.,0.002093383576720953,0.12040015310049057,0
fold_5,100,"Bandyopadhyay's well-received monograph (2011: reference-6) extended these assertions further through a detailed study of central Omani oasis settlements, exploring notions of sacredness, the role of water, mosque and dwelling typology, and settlement morphology, amongst other issues. 
 ",0.00993275735527277,0.12040015310049057,0
