Fold,Case ID,Sentence,Attention Weight,Prediction,Label
fold_1,63, Reducing youth anti-social behaviour and raising young people's educational aspirations are international priorities.,0.006788298487663269,0.4967290461063385,0
fold_1,63,"Research carried out by the University of Greenwich has provided the basis for policy development on participation in higher education and has informed policy makers' views about, and practitioners' work on, anti-social behaviour in schools in the UK and more widely.",0.01973014697432518,0.4967290461063385,0
fold_1,63,"The impact through partnerships with a local authority and a charity are also described, involving use of an assessment toolkit called the Emotion, Behaviour, Aspiration Toolkit (eBAT) to address factors that limit the aspirations and social mobility of young people.",0.009365825913846493,0.4967290461063385,0
fold_1,63,"The work is located in the university's Research Centre for Children Schools and Families, which has become a centre for research on anti-social behaviour: www2.gre.ac.uk/about/schools/health/research/healthsocial/ccsf. 
 Antisocial behaviour is the focus of political and media attention; reducing anti-social behaviour and raising young people's achievements and aspirations are main priorities for policy makers.",0.01517938356846571,0.4967290461063385,0
fold_1,63,"Between 2002 and 2005 Professor Pam Maras from the University of Greenwich was awarded funding under the government initiative, `Excellence in Cities', to conduct a longitudinal study of 2,731 school students' attitudes toward higher education [3.1].",0.04916917532682419,0.4967290461063385,0
fold_1,63,"The study was underpinned by Pam Maras' previous work which found teachers were more concerned about children's behaviour than special educational needs [3.2], and was linked to a programme of research by Pam Maras and colleagues at the University of Greenwich on aspirations and identity of young people with and without behavioural difficulties [3.3].",0.004307339433580637,0.4967290461063385,0
fold_1,63,"The main findings showed: young people's differential identification with peers, family and school was related to their self-concept, attributions about school and subsequent behaviour and aspirations toward undertaking further and higher education and training on leaving school the strength of young people's social identification with peers, family and school changed in mid adolescence, when identification with school and family became weaker and identification with peers became stronger the effects of this on young people's current and future behaviour and aspirations, and potential effects on mental health in adulthood.",0.006911379285156727,0.4967290461063385,0
fold_1,63,Of particular interest was the finding that most young people become more negative generally in mid adolescence.,0.003900929819792509,0.4967290461063385,0
fold_1,63,"This was described by Pam Maras and colleagues at Greenwich as the `Year 10' effect [3.4] and has been shown to occur in the UK and more widely; for example, in work by Pam Maras with colleagues in Australia [3.5] and China",0.005737731698900461,0.4967290461063385,0
fold_1,63,[3.6].,0.13224001228809357,0.4967290461063385,0
fold_1,63,"This negativity reduced as the adolescents got older — at about 16 or 17 years — except in children with Social Emotional and Behavioural Difficulties, a finding linked to future depression in adulthood.",0.015477687120437622,0.4967290461063385,0
fold_1,63,"Adolescents' negativity was found to be related to how strongly they identified with their peers, family and school and to affect self-concept and aspirations.",0.0032314842101186514,0.4967290461063385,0
fold_1,63,"These findings have implications for policy and practice aimed at raising aspirations and reducing antisocial behaviour, particularly as many interventions are implemented during the age sensitive times described in Pam Maras' work — ie Year 10 (14-15 years of age).",0.01512075960636139,0.4967290461063385,0
fold_1,63,"Three related practical implications arise out of Pam Maras' research programme: Young people's behaviour problems may be linked to special educational needs, and in such cases it is not appropriate to deal with anti-social behaviour via a discipline route.",0.003479631617665291,0.4967290461063385,0
fold_1,63,"Interventions need to vary in relation to the types and causes of difficulties, which are multi-faceted and complex and need to be evaluated on their effectiveness.",0.007952900603413582,0.4967290461063385,0
fold_1,63,Schools and those working with young people need to take account of child development and age-related changes (such as the `Year 10 effect').,0.014670529402792454,0.4967290461063385,0
fold_1,63,"Because of these changes, interventions involving out of school activity that broaden experience and involve peers are most likely to have impact on adolescents' behaviour and aspirations.",0.01671965979039669,0.4967290461063385,0
fold_1,63,A psychometric measure called `about me' was developed as part of the research programme to measure children's self-concept and social identity.,0.0078106834553182125,0.4967290461063385,0
fold_1,63,"The `about me' measure was incorporated into a tool-kit called the `Evaluation Behaviour and Aspiration Toolkit' (eBAT), which is available for use by practitioners to assess the effectiveness of interventions.",0.004814936313778162,0.4967290461063385,0
fold_1,63,"Pam Maras has recently been awarded a grant of £25,177 from the Higher Education Initiatives Fund to develop the `eBAT' which is located in the Research Centre for Children Schools and Families (see also REF3a, REF5, www2.gre.ac.uk/about/schools/health/research/healthsocial/ccsf/resources) 
 ",0.012700716964900494,0.4967290461063385,0
fold_1,63,"The programme of research described in this case study has resulted in three forms of impact: Contributions to policy development, eg invited contribution to the UK House of Commons Select Committee and policy recommendations by an Australian charity (The Smith Family)",0.015111144632101059,0.4967290461063385,0
fold_1,63,"The outcome of partnership projects, and practitioners' use of the eBAT toolkit Media and public engagement.",0.04674219340085983,0.4967290461063385,0
fold_1,63,1.,0.07707205414772034,0.4967290461063385,0
fold_1,63,Contributions to policy development in UK and more widely i. House of Commons Select Committee inquiry on Behaviour and Discipline in Schools Pam Maras drew on findings from this case study to inform a response she co-authored from the British Psychological Society to the above inquiry.,0.0029964211862534285,0.4967290461063385,0
fold_1,63,She was subsequently invited to be a witness and provide oral evidence drawing on findings from the case study to the Select Committee Inquiry on 13 October 2010.,0.008438151329755783,0.4967290461063385,0
fold_1,63,"The first report of the inquiry, and the government's response, addressed points raised by Pam Maras.",0.0005604058969765902,0.4967290461063385,0
fold_1,63,"For example, the report notes: ""As [Professor Pam Maras] told us, schools find it very difficult to interpret SEN policies in relation to behaviour, because, of course, behaviour is also dealt with through disciplinary action.""",0.0017540203407406807,0.4967290461063385,0
fold_1,63,"The Government's response was linked to further points raised by Pam Maras (see p19, p9 and 30, p14), and a subsequent green paper on special educational needs and disability stated ""a clear expectation that schools should invest in training their staff on identification of special educational needs and on links between special educational needs and behaviour"", a point further stressed in the government commitment to ""improving the initial training of, and continued professional development opportunities for teachers to make sure that the right focus is given to developing their knowledge of special educational needs and behaviour"".",0.0037679020315408707,0.4967290461063385,0
fold_1,63,"Pam Maras' evidence that there was a potential link between behaviour difficulties in adolescence and mental health problems in adulthood was also picked up in the government green paper, which stated: ""Many young people with behavioural issues or SEN also have mental health problems.",0.0014910303289070725,0.4967290461063385,0
fold_1,63,"Schools face major challenges in securing specialist and therapeutic services in order to make accurate assessments of need and to implement appropriate interventions.""",0.0036110973451286554,0.4967290461063385,0
fold_1,63,"The green paper proposed: ""The Department of Health and the Department for Education should pilot, with a number of Behaviour and Attendance Partnerships, a mechanism by which they can commission CAMHS services accountable to them locally.""",0.004869397263973951,0.4967290461063385,0
fold_1,63,"(Paragraph 133) (see 5.5, 5.6, 5.7, 5.8) ii.",0.01188566442579031,0.4967290461063385,0
fold_1,63,"Westminster Briefing Following the inquiry, Pam Maras took part in an invited Westminster Briefing on 14 July 2011 on `Behaviour and Discipline in Schools: New Strategies and A New Approach to Improve Standards'.",0.0035405836533755064,0.4967290461063385,0
fold_1,63,"Attendees included policy makers, head teachers and others involved with behaviour in schools (copy of invitation available).",0.025209438055753708,0.4967290461063385,0
fold_1,63,iii.,0.039956219494342804,0.4967290461063385,0
fold_1,63,Policy recommendations by an educational charity in Australia (The Smith Family),0.006559301167726517,0.4967290461063385,0
fold_1,63,"Pam Maras' programme of research underpinning this case study has also been utilised by an Australian NGO, `The Smith Family', in recommendations in a report on school and communities' roles in enabling students to achieve their educational aspirations (see 5.9).",0.008305720053613186,0.4967290461063385,0
fold_1,63,2.,0.09566669166088104,0.4967290461063385,0
fold_1,63,Engagement with external partners and use of `about me' and eBAT The following three examples of partnerships all utilised the eBAT toolkit: i.,0.009086651727557182,0.4967290461063385,0
fold_1,63,"The CROIS project Findings from this case study informed an EU funded two year intervention called the CROIS project with schools and young people in the UK and France (www.crois.eu/) led by Pam Maras, which put in place activities to address factors that limit youth aspirations and social mobility.",0.025554239749908447,0.4967290461063385,0
fold_1,63,Non-academic partners in schools and policy were involved and there were significant changes in the aspirations of over 120 French and UK adolescents (see 5.10).,0.028712918981909752,0.4967290461063385,0
fold_1,63,ii.,0.022935684770345688,0.4967290461063385,0
fold_1,63,Partnership with the Royal Borough of Greenwich Behaviour and Attendance Partnership A collaborative project began in 2011 between Greenwich Behaviour and Attendance Partnership and Pam Maras.,0.02071768045425415,0.4967290461063385,0
fold_1,63,"Drawing on research underlying case study, Pam Maras' research team worked with the Behaviour and Attendance team to enable them to work in an evidence- based way whist maintaining a high quality service.",0.006594934035092592,0.4967290461063385,0
fold_1,63,"The eBAT was made available to the team as a means of measuring the impact of interventions pre and post provision, in order to demonstrate the extent to which needs and targets were met and problems addressed (see 5.4).",0.006684268359094858,0.4967290461063385,0
fold_1,63,"iii. Greenwich Mencap `GreenLights' project GreenLights is a support service run by Greenwich Mencap for families of young people aged between 5 and 18 who have either a learning disability, a learning disability and autistic spectrum condition, or a learning disability and additional behavioural difficulties.",0.0624496228992939,0.4967290461063385,0
