Fold,Case ID,Sentence,Attention Weight,Prediction,Label
fold_5,100," This case study describes the pioneering work undertaken with the Sultanate of Oman government to develop appropriate approaches towards sustainable documentation, management and renewal of 86 priority heritage sites of its 1000-plus vernacular settlements.",0.037852391600608826,0.18127205967903137,0
fold_5,100,Approaches established through a pilot project - now extended to 9 settlements (5 completed) including 3 World-Heritage- Sites - are helping Oman achieve a cohesive strategy and have instigated a thorough revision of the priority list.,0.02841593697667122,0.18127205967903137,0
fold_5,100,"Wide-ranging stakeholder engagement was achieved through exhibitions, public lectures, workshops, press interviews (Arabic/English) and heritage-related film-production.",0.029344363138079643,0.18127205967903137,0
fold_5,100,"The continued `capacity building' and employment of young graduates through skills development training has provided the social enterprise dimension. 
 ",0.013057027012109756,0.18127205967903137,0
fold_5,100,The underpinning research undertaken at this HEI since 1998 originally consisted of three key strands.,0.008141531608998775,0.18127205967903137,0
fold_5,100,Shackley's internationally recognised work (1998: reference-1; also 2001 & 2002) on the complex cultural and political nature of World-Heritage-Sites (WHS) as places of tourism and the validity of applying contemporary theoretical frameworks to analysing historical issues had provided important insights into their management and consumption.,0.012317899614572525,0.18127205967903137,0
fold_5,100,"Paralleling this, Mansfield's work in heritage focused on conservation and protection policies, their remit within the UK and the legal and ethical challenges.",0.0011541213607415557,0.18127205967903137,0
fold_5,100,His publication in Structural Survey (2001) addressed a key issue in heritage conservation: refurbishment.,0.0017445419216528535,0.18127205967903137,0
fold_5,100,"Exploring the perception of `risk' in refurbishment amongst conservation consultants, Mansfield highlighted the importance of the clients' awareness of cultural issues.",0.0035912487655878067,0.18127205967903137,0
fold_5,100,In recognising the importance of the design quality Mansfield subsequently argued the role of government initiatives (CABE) in enshrining good design within conservation policy (2004: reference-3).,0.0023912021424621344,0.18127205967903137,0
fold_5,100,The ethical challenges associated with design interventions within an increasingly complex conservation practice is discussed in Mansfield's 2008 paper.,0.006352676078677177,0.18127205967903137,0
fold_5,100,Black's work (2002: reference-2) on the conservation of built heritage in the UK was underpinned by wider multi- disciplinary research interest within the institution on the need to address the significant built heritage in Nottingham - a legacy of the city's lace manufacturing industry.,0.012512799352407455,0.18127205967903137,0
fold_5,100,"The work provided important theoretical and practice-related insights into the appreciation, interpretation and appropriation of built heritage in the UK.",0.019589610397815704,0.18127205967903137,0
fold_5,100,"A social enterprise based approach to heritage management emerged in the work of Alina and Tom Hughes, whose concerns centred on identity and social justice.",0.006328192539513111,0.18127205967903137,0
fold_5,100,"In 2003, under the Prince of Wales' INTBAU (International Network for Traditional Building, Architecture and Urbanism) initiative, the team was involved in the production of a master plan for the medieval Saxon village of Laslea in Transylvania, Romania through an international development and design workshop (www.intbau.org/archive/Transylvania.htm).",0.06057595834136009,0.18127205967903137,0
fold_5,100,The study of vernacular environments and heritage management were given further impetus with the arrival of Bandyopadhyay in 2008 through work on oasis settlements of Oman.,0.01619676686823368,0.18127205967903137,0
