Fold,Case ID,Sentence,Sentence Attention Weight,Prediction,Label
fold_1,63, Reducing youth anti-social behaviour and raising young people's educational aspirations are international priorities.,0.00782486516982317,0.3150939345359802,0
fold_1,63,"Research carried out by the University of Greenwich has provided the basis for policy development on participation in higher education and has informed policy makers' views about, and practitioners' work on, anti-social behaviour in schools in the UK and more widely.",0.026692477986216545,0.3150939345359802,0
fold_1,63,"The impact through partnerships with a local authority and a charity are also described, involving use of an assessment toolkit called the Emotion, Behaviour, Aspiration Toolkit (eBAT) to address factors that limit the aspirations and social mobility of young people.",0.02312152273952961,0.3150939345359802,0
fold_1,63,"The work is located in the university's Research Centre for Children Schools and Families, which has become a centre for research on anti-social behaviour: www2.gre.ac.uk/about/schools/health/research/healthsocial/ccsf. 
 Antisocial behaviour is the focus of political and media attention; reducing anti-social behaviour and raising young people's achievements and aspirations are main priorities for policy makers.",0.020985452458262444,0.3150939345359802,0
fold_1,63,"Between 2002 and 2005 Professor Pam Maras from the University of Greenwich was awarded funding under the government initiative, `Excellence in Cities', to conduct a longitudinal study of 2,731 school students' attitudes toward higher education [3.1].",0.14303703606128693,0.3150939345359802,0
fold_1,63,"The study was underpinned by Pam Maras' previous work which found teachers were more concerned about children's behaviour than special educational needs [3.2], and was linked to a programme of research by Pam Maras and colleagues at the University of Greenwich on aspirations and identity of young people with and without behavioural difficulties [3.3].",0.012630713172256947,0.3150939345359802,0
fold_1,63,"The main findings showed: young people's differential identification with peers, family and school was related to their self-concept, attributions about school and subsequent behaviour and aspirations toward undertaking further and higher education and training on leaving school the strength of young people's social identification with peers, family and school changed in mid adolescence, when identification with school and family became weaker and identification with peers became stronger the effects of this on young people's current and future behaviour and aspirations, and potential effects on mental health in adulthood.",0.005071967374533415,0.3150939345359802,0
fold_1,63,Of particular interest was the finding that most young people become more negative generally in mid adolescence.,0.0008641188032925129,0.3150939345359802,0
fold_1,63,"This was described by Pam Maras and colleagues at Greenwich as the `Year 10' effect [3.4] and has been shown to occur in the UK and more widely; for example, in work by Pam Maras with colleagues in Australia [3.5] and China",0.006823032628744841,0.3150939345359802,0
fold_1,63,[3.6].,0.0009731805184856057,0.3150939345359802,0
fold_1,63,"This negativity reduced as the adolescents got older — at about 16 or 17 years — except in children with Social Emotional and Behavioural Difficulties, a finding linked to future depression in adulthood.",0.005422044079750776,0.3150939345359802,0
fold_1,63,"Adolescents' negativity was found to be related to how strongly they identified with their peers, family and school and to affect self-concept and aspirations.",0.0020847541745752096,0.3150939345359802,0
fold_1,63,"These findings have implications for policy and practice aimed at raising aspirations and reducing antisocial behaviour, particularly as many interventions are implemented during the age sensitive times described in Pam Maras' work — ie Year 10 (14-15 years of age).",0.02056173048913479,0.3150939345359802,0
fold_1,63,"Three related practical implications arise out of Pam Maras' research programme: Young people's behaviour problems may be linked to special educational needs, and in such cases it is not appropriate to deal with anti-social behaviour via a discipline route.",0.008648543618619442,0.3150939345359802,0
fold_1,63,"Interventions need to vary in relation to the types and causes of difficulties, which are multi-faceted and complex and need to be evaluated on their effectiveness.",0.004839567467570305,0.3150939345359802,0
fold_1,63,Schools and those working with young people need to take account of child development and age-related changes (such as the `Year 10 effect').,0.018419047817587852,0.3150939345359802,0
fold_1,63,"Because of these changes, interventions involving out of school activity that broaden experience and involve peers are most likely to have impact on adolescents' behaviour and aspirations.",0.014341477304697037,0.3150939345359802,0
fold_1,63,A psychometric measure called `about me' was developed as part of the research programme to measure children's self-concept and social identity.,0.00502781942486763,0.3150939345359802,0
fold_1,63,"The `about me' measure was incorporated into a tool-kit called the `Evaluation Behaviour and Aspiration Toolkit' (eBAT), which is available for use by practitioners to assess the effectiveness of interventions.",0.002527971053496003,0.3150939345359802,0
fold_1,63,"Pam Maras has recently been awarded a grant of £25,177 from the Higher Education Initiatives Fund to develop the `eBAT' which is located in the Research Centre for Children Schools and Families (see also REF3a, REF5, www2.gre.ac.uk/about/schools/health/research/healthsocial/ccsf/resources) 
 ",0.02883567288517952,0.3150939345359802,0
fold_1,63,"The programme of research described in this case study has resulted in three forms of impact: Contributions to policy development, eg invited contribution to the UK House of Commons Select Committee and policy recommendations by an Australian charity (The Smith Family)",0.04009421542286873,0.3150939345359802,0
fold_1,63,"The outcome of partnership projects, and practitioners' use of the eBAT toolkit Media and public engagement.",0.08844010531902313,0.3150939345359802,0
fold_1,63,1.,0.0038576635997742414,0.3150939345359802,0
fold_1,63,Contributions to policy development in UK and more widely i. House of Commons Select Committee inquiry on Behaviour and Discipline in Schools Pam Maras drew on findings from this case study to inform a response she co-authored from the British Psychological Society to the above inquiry.,0.012161720544099808,0.3150939345359802,0
fold_1,63,She was subsequently invited to be a witness and provide oral evidence drawing on findings from the case study to the Select Committee Inquiry on 13 October 2010.,0.0019075358286499977,0.3150939345359802,0
fold_1,63,"The first report of the inquiry, and the government's response, addressed points raised by Pam Maras.",0.00046172208385542035,0.3150939345359802,0
