Fold,Case ID,Sentence,Sentence Attention Weight,Prediction,Label
fold_2,560, Professor Stuart Harrop's advice has informed and underpinned the UN Food and Agricultural Organisation (UNFAO) policy approach to `Globally Important Agricultural Heritage Systems' (GIAHS).,0.026766184717416763,0.29088354110717773,0
fold_2,560,GIAHS are defined as `remarkable land use systems and landscapes which are rich in globally significant biological diversity evolving from the co-adaption of community with its environment and its needs and aspirations for sustainable development' see www.fao.org/giahs/giahs/en/. The UNFAO GIAHS project promotes and protects traditional agricultural systems to support food security/resilience strategies and preserve cultural and agro- and bio-diversity.,0.052802857011556625,0.29088354110717773,0
fold_2,560,"Currently, there are GIAHS sites in Algeria, Brazil, Chile, China, India, Italy, Kenya, Japan, Madagascar, Morocco, Peru, Philippines, Tanzania, Tunisia, USA, Vanuatu (further details at www.fao.org/giahs/giahs-sites/en/).",0.03457237780094147,0.29088354110717773,0
fold_2,560,UNFAO requested Harrop to provide advice on the international law and policy that might support GIAHS.,0.005828926805406809,0.29088354110717773,0
fold_2,560,That advice continues to underpin the approach to the UNFAO's most recent work and meetings concerning GIAHS.,0.014615293592214584,0.29088354110717773,0
fold_2,560,"In particular, Harrop's work has informed the UNFAO's decision not to engage in drafting an additional international legal framework.",0.02009010687470436,0.29088354110717773,0
fold_2,560,"Instead, the organisation is using the existing legal arrangements to protect these land-use systems and landscapes. 
 ",0.05306972190737724,0.29088354110717773,0
fold_2,560,"Professor Harrop's (employed at Kent 1996 to 2013) research explores the relationship between trade and the environment, animal welfare, conservation and wildlife management law.",0.02561386302113533,0.29088354110717773,0
fold_2,560,"Prior to joining academia, Harrop qualified as a solicitor and worked as a legal advisor for a range of organisations, including ICI and The London Stock Exchange, and he was Director of Legal Services for the Royal Society for the Prevention of Cruelty to Animals (RSPCA).",0.011363603174686432,0.29088354110717773,0
fold_2,560,"His research dealt with two key areas that concerned GIAHS: Paper 1 (section 3, publication i) examined the challenges facing some rural communities, regarding the protection of intellectual property within their traditional agricultural and hunting practices, and the recent developments in international policy and law that are relevant to those challenges.",0.024284036830067635,0.29088354110717773,0
fold_2,560,"Paper 2 (section 3, publication ii) examined the broader manner in which diverse instruments of international law and policy supported or hindered the role of traditional practices in biodiversity preservation.",0.021442534402012825,0.29088354110717773,0
fold_2,560,"In particular, it analysed a wide range of law and policy within conventions deriving from the biodiversity preservation agenda, in addition to instruments dealing with indigenous rights.",0.020877115428447723,0.29088354110717773,0
fold_2,560,"On the basis of this, Harrop was invited to advise the UN Food and Agriculture Organisation on the legal matrix and likely legal and policy arrangements required for the proposed full-scale GIAHS, to optimise its effect on the global community.",0.01093258522450924,0.29088354110717773,0
fold_2,560,"The report Harrop, S. (2005) GIAHS-",0.014412150718271732,0.29088354110717773,0
fold_2,560,"An Examination of Their Context in Existing Multilateral Instruments (UNFAO) was prepared in response; it clearly links into the underpinning research, and is available on the UNFAO site at: www.fao.org/giahs/giahs-inforesources/publications/publications-detail/en/c/143375/ 
 The GIAHS project is designed to establish the basis for international recognition, conservation and adaptive management of Globally Important Agricultural Heritage Systems and their associated landscapes, agricultural biodiversity, knowledge systems, food and livelihood and cultures throughout the world.",0.01203814148902893,0.29088354110717773,0
fold_2,560,"It is a UNFAO initiative supported by the Global Environmental Facility (GEF) (through UNDP during preparatory phases) and the full scale project is currently being implemented/executed by UNFAO, in close collaboration with United Nations Development Programme (UNDP), United Nations Educational, Scientific and Cultural Organisation (UNESCO), International Fund for Agricultural Development (IFAD), The International Plant Genetic Resources Institute (IPGRI), United Nations University (UNU), bilateral donors, and others (a full list of partners is at www.fao.org/giahs/giahs-partners/en/; and see Terms of Reference for the GIAHS Steering Committee, detailed in section 5, point D).",0.02348954789340496,0.29088354110717773,0
fold_2,560,The project document (UNFAO Implementation doc 2008-2013) is published on the FAO website: www.fao.org/fileadmin/templates/giahs/PDF/GIAHS_FSP_Document.pdf.,0.05707019567489624,0.29088354110717773,0
fold_2,560,"A key consideration in the formulation of GIAHS was the extent of interlinkage and overlap with existing international law and policy, and the agendas of other international institutions within the UN family.",0.0032759380992501974,0.29088354110717773,0
fold_2,560,Expert advice was required to underpin the strategy of the then fledgling project in order to determine how it would develop and be implemented under a UN framework.,0.019720369949936867,0.29088354110717773,0
fold_2,560,A representative of the GIAHS team in UNFAO therefore approached Harrop after studying his publications.,0.0029839493799954653,0.29088354110717773,0
fold_2,560,Harrop's report (August 2005) formed the basis of the policy approach establishing and supporting the GIAHS project.,0.010221959091722965,0.29088354110717773,0
fold_2,560,"Previously the GIAHS team had been considering a potentially counter-productive `hard law' approach to GIAHS, which entails the development of new, global level, enforcement mechanisms (including systems of sanctions); instead, as a result of Harrop's advice, they pursued a policy that made use of existing legal frameworks.",0.005773632787168026,0.29088354110717773,0
fold_2,560,"Harrop's report reviewed how existing legal mechanisms, at the global, national and local levels, could be used to protect important agricultural heritage systems.",0.042404163628816605,0.29088354110717773,0
fold_2,560,"Harrop reviewed the capacity for current policy instruments under Agenda 21, the Johannesburg Declaration on Sustainable Development and Forest Principles to be used to protect agricultural systems.",0.045495688915252686,0.29088354110717773,0
