Fold,Case ID,Sentence,Attention Weight,Prediction,Label
fold_2,1112,Sentence 0,1.0,0.07662151753902435,0
fold_2,1438,Sentence 0,1.0,0.3289315402507782,0
fold_2,1446,Sentence 0,1.0,0.45548197627067566,1
fold_2,1447,Sentence 0,1.0,0.34322577714920044,1
fold_2,1448,Sentence 0,1.0,0.8461231589317322,1
fold_2,1449,Sentence 0,1.0,0.8416987657546997,1
fold_2,1450,Sentence 0,1.0,0.8827694654464722,1
fold_2,1451,Sentence 0,1.0,0.8191183805465698,1
fold_2,1452,Sentence 0,1.0,0.4620826244354248,1
fold_2,1488,Sentence 0,1.0,0.06970968097448349,0
fold_2,1975,Sentence 0,1.0,0.3927946388721466,0
fold_2,1976,Sentence 0,1.0,0.6454720497131348,0
fold_2,1977,Sentence 0,1.0,0.8214103579521179,0
fold_2,2728,Sentence 0,1.0,0.9704811573028564,1
fold_2,2776,Sentence 0,1.0,0.3226315975189209,0
fold_2,2810,Sentence 0,1.0,0.1575009971857071,0
fold_2,2811,Sentence 0,1.0,0.3786996603012085,0
fold_2,2815,Sentence 0,1.0,0.14124278724193573,0
fold_2,2816,Sentence 0,1.0,0.28893887996673584,0
fold_2,2933,Sentence 0,1.0,0.892086923122406,1
fold_2,2999,Sentence 0,1.0,0.9265486001968384,1
fold_2,3416,Sentence 0,1.0,0.9710781574249268,1
fold_2,3417,Sentence 0,1.0,0.9058324098587036,1
fold_2,3418,Sentence 0,1.0,0.9205045104026794,1
fold_2,3419,Sentence 0,1.0,0.8910231590270996,1
fold_2,3550,Sentence 0,1.0,0.405548095703125,1
fold_2,3551,Sentence 0,1.0,0.58348548412323,1
fold_2,3553,Sentence 0,1.0,0.44000157713890076,1
fold_2,3585,Sentence 0,1.0,0.07674192637205124,1
fold_2,3699,Sentence 0,1.0,0.2536582946777344,1
fold_2,3938,Sentence 0,1.0,0.47691869735717773,0
fold_2,3939,Sentence 0,1.0,0.06234165281057358,0
fold_2,4909,Sentence 0,1.0,0.5297145843505859,1
fold_2,4937,Sentence 0,1.0,0.1695847511291504,0
fold_2,4938,Sentence 0,1.0,0.3066543936729431,0
fold_2,4951,Sentence 0,1.0,0.5835521221160889,0
fold_2,4952,Sentence 0,1.0,0.09983240813016891,0
fold_2,4953,Sentence 0,1.0,0.41582122445106506,0
fold_2,4964,Sentence 0,1.0,0.5717628002166748,0
fold_2,4965,Sentence 0,1.0,0.07516863942146301,0
fold_2,4966,Sentence 0,1.0,0.2757417857646942,0
fold_2,4967,Sentence 0,1.0,0.29996511340141296,0
fold_2,5400,Sentence 0,1.0,0.12231235951185226,0
fold_2,5401,Sentence 0,1.0,0.14250004291534424,0
fold_2,6307,Sentence 0,1.0,0.8574885129928589,1
fold_2,6308,Sentence 0,1.0,0.7957457304000854,1
fold_2,6309,Sentence 0,1.0,0.7630118727684021,1
fold_2,6318,Sentence 0,1.0,0.9080252647399902,1
fold_2,6320,Sentence 0,1.0,0.3705601096153259,1
fold_2,6367,Sentence 0,1.0,0.3570331335067749,1
fold_2,6405,Sentence 0,1.0,0.4866473972797394,1
fold_2,6424,Sentence 0,1.0,0.849162757396698,1
fold_2,7315,Sentence 0,1.0,0.4385989308357239,1
fold_2,7316,Sentence 0,1.0,0.29953232407569885,1
fold_2,7317,Sentence 0,1.0,0.5564499497413635,1
fold_2,7318,Sentence 0,1.0,0.1988147497177124,1
fold_2,7319,Sentence 0,1.0,0.5494306087493896,1
fold_2,8322,Sentence 0,1.0,0.5555823445320129,1
fold_2,9450,Sentence 0,1.0,0.4940766990184784,0
fold_2,10808,Sentence 0,1.0,0.6828643083572388,1
fold_2,11015,Sentence 0,1.0,0.47899961471557617,0
fold_2,11090,Sentence 0,1.0,0.3666399419307709,0
fold_2,12700,Sentence 0,1.0,0.1351393610239029,0
fold_2,12702,Sentence 0,1.0,0.2989189624786377,0
fold_2,13193,Sentence 0,1.0,0.15060673654079437,0
fold_2,13194,Sentence 0,1.0,0.15468701720237732,0
fold_2,14223,Sentence 0,1.0,0.3655679225921631,0
fold_2,14224,Sentence 0,1.0,0.350961297750473,0
fold_2,14378,Sentence 0,1.0,0.6322546601295471,0
fold_2,14379,Sentence 0,1.0,0.715227484703064,0
fold_2,14513,Sentence 0,1.0,0.8494669795036316,1
fold_2,14525,Sentence 0,1.0,0.8077221512794495,1
fold_2,14536,Sentence 0,1.0,0.9507638812065125,1
fold_2,14543,Sentence 0,1.0,0.9380022883415222,1
fold_2,14565,Sentence 0,1.0,0.9384013414382935,1
fold_2,14566,Sentence 0,1.0,0.867315411567688,1
fold_2,14567,Sentence 0,1.0,0.9860937595367432,1
fold_2,14568,Sentence 0,1.0,0.7848256230354309,1
fold_2,14571,Sentence 0,1.0,0.7825060486793518,1
fold_2,14572,Sentence 0,1.0,0.35902199149131775,1
fold_2,14575,Sentence 0,1.0,0.25406691431999207,1
fold_2,14592,Sentence 0,1.0,0.48037368059158325,0
fold_2,14623,Sentence 0,1.0,0.42992639541625977,0
fold_2,14678,Sentence 0,1.0,0.10449668765068054,0
fold_2,14712,Sentence 0,1.0,0.3451368808746338,0
fold_2,14715,Sentence 0,1.0,0.243899405002594,0
fold_2,14716,Sentence 0,1.0,0.06680469959974289,0
fold_2,14717,Sentence 0,1.0,0.3621445596218109,0
fold_2,14718,Sentence 0,1.0,0.2207447588443756,0
fold_2,14911,Sentence 0,1.0,0.08578301221132278,0
fold_2,15504,Sentence 0,1.0,0.06790396571159363,0
fold_2,15906,Sentence 0,1.0,0.36951562762260437,0
fold_2,15911,Sentence 0,1.0,0.24508029222488403,0
fold_2,16935,Sentence 0,1.0,0.4292299747467041,1
fold_2,17021,Sentence 0,1.0,0.23607081174850464,0
fold_2,17158,Sentence 0,1.0,0.5828847289085388,0
fold_2,17498,Sentence 0,1.0,0.17961660027503967,0
fold_2,17500,Sentence 0,1.0,0.07432477921247482,0
fold_2,17505,Sentence 0,1.0,0.36060744524002075,0
fold_2,18762,Sentence 0,1.0,0.5079345107078552,1
fold_2,18766,Sentence 0,1.0,0.2709856331348419,0
fold_2,19031,Sentence 0,1.0,0.5770108699798584,0
fold_2,19074,Sentence 0,1.0,0.2560696601867676,0
fold_2,19082,Sentence 0,1.0,0.102714404463768,0
fold_2,19092,Sentence 0,1.0,0.5613276362419128,1
fold_2,19862,Sentence 0,1.0,0.8056816458702087,0
fold_2,20047,Sentence 0,1.0,0.38427457213401794,1
fold_2,20066,Sentence 0,1.0,0.7541521787643433,1
fold_2,20314,Sentence 0,1.0,0.8166837692260742,0
fold_2,20433,Sentence 0,1.0,0.10351282358169556,0
fold_2,20434,Sentence 0,1.0,0.18861353397369385,0
fold_2,20448,Sentence 0,1.0,0.16987568140029907,0
fold_2,20459,Sentence 0,1.0,0.06528870016336441,0
fold_2,20951,Sentence 0,1.0,0.8817299008369446,1
fold_2,21135,Sentence 0,1.0,0.23262421786785126,0
fold_2,21136,Sentence 0,1.0,0.4244964122772217,0
fold_2,21198,Sentence 0,1.0,0.8212766051292419,0
